Carson Range (Genoa)                        	 -119.822600 	 38.777200 	 328.000000 	 0.000000 	 -0.000250 	 0.000250 	 0.000354 	 0.000104 	 0.000604 	 0.000254 	 -0.000139 	 -0.000370 	 0.000159 	 -0.000087 	 -0.000231 	 0.000159 	 -0.000087 	 -0.000231 	 0.000099 	 -0.000054 	 -0.000144 
Cleghorn                                    	 -117.370000 	 34.288000 	 268.000000 	 0.000450 	 0.000300 	 0.000600 	 -0.000000 	 -0.000150 	 0.000150 	 0.000016 	 0.000010 	 0.000021 	 -0.000449 	 -0.000300 	 -0.000599 	 0.000001 	 0.000000 	 0.000001 	 -0.000016 	 -0.000010 	 -0.000021 
Concord 2011 CFM                            	 -122.032000 	 37.965700 	 333.000000 	 -0.003400 	 -0.003700 	 -0.003100 	 -0.000000 	 -0.000300 	 0.000300 	 0.001375 	 0.001254 	 0.001497 	 0.000701 	 0.000639 	 0.000763 	 -0.002699 	 -0.002461 	 -0.002937 	 -0.001375 	 -0.001254 	 -0.001497 
Cucamonga                                   	 -117.532000 	 34.167800 	 274.000000 	 0.000000 	 -0.000100 	 0.000100 	 -0.000778 	 -0.000878 	 -0.000678 	 -0.000004 	 0.000003 	 0.000004 	 -0.000054 	 0.000049 	 0.000059 	 -0.000054 	 0.000049 	 0.000059 	 -0.000774 	 0.000704 	 0.000844 
Death Valley (Black Mts Frontal)            	 -116.733200 	 36.074800 	 38.000000 	 -0.001732 	 -0.002732 	 -0.000732 	 0.000500 	 -0.000500 	 0.001500 	 -0.000530 	 -0.000575 	 -0.001726 	 0.000414 	 0.000450 	 0.001349 	 -0.001318 	 -0.000416 	 -0.001249 	 0.001030 	 0.000325 	 0.000976 
Death Valley (Fish Lake Valley)             	 -118.180000 	 37.787000 	 336.000000 	 -0.002165 	 -0.002565 	 -0.001765 	 0.000000 	 -0.000400 	 0.000400 	 0.000804 	 0.000676 	 0.000933 	 0.000358 	 0.000301 	 0.000415 	 -0.001807 	 -0.001518 	 -0.002096 	 -0.000804 	 -0.000676 	 -0.000933 
Death Valley (Fish Lake Valley)             	 -118.010500 	 37.567600 	 318.000000 	 -0.002685 	 -0.003085 	 -0.002285 	 0.000000 	 -0.000400 	 0.000400 	 0.001335 	 0.001163 	 0.001507 	 0.001202 	 0.001047 	 0.001357 	 -0.001483 	 -0.001291 	 -0.001674 	 -0.001335 	 -0.001163 	 -0.001507 
Death Valley (No)                           	 -117.260000 	 36.880000 	 326.000000 	 -0.004500 	 -0.005900 	 -0.002900 	 -0.000000 	 -0.001400 	 0.001600 	 0.002086 	 0.001437 	 0.002828 	 0.001407 	 0.000969 	 0.001907 	 -0.003093 	 -0.002131 	 -0.004193 	 -0.002086 	 -0.001437 	 -0.002828 
Deep Springs                                	 -117.966000 	 37.372000 	 202.000000 	 0.000000 	 -0.000450 	 0.000450 	 0.000579 	 0.000129 	 0.001029 	 0.000497 	 -0.000249 	 -0.000746 	 -0.000201 	 0.000100 	 0.000301 	 -0.000201 	 0.000100 	 0.000301 	 0.000081 	 -0.000041 	 -0.000122 
Elsinore (Glen Ivy) rev                     	 -117.499000 	 33.763000 	 316.000000 	 -0.004450 	 -0.007600 	 0.000400 	 -0.000000 	 -0.003150 	 0.004850 	 0.002224 	 0.000650 	 0.004647 	 0.002147 	 0.000627 	 0.004488 	 -0.002303 	 -0.000673 	 -0.004812 	 -0.002224 	 -0.000650 	 -0.004647 
Elsinore (Glen Ivy) rev                     	 -117.499000 	 33.763000 	 316.000000 	 -0.006000 	 -0.009200 	 0.000200 	 -0.000000 	 -0.003200 	 0.006200 	 0.002998 	 0.001399 	 0.006096 	 0.002895 	 0.001351 	 0.005887 	 -0.003105 	 -0.001449 	 -0.006313 	 -0.002998 	 -0.001399 	 -0.006096 
Elsinore (Glen Ivy) rev                     	 -117.499000 	 33.763000 	 316.000000 	 -0.005600 	 -0.005900 	 -0.005300 	 -0.000000 	 -0.000300 	 0.000300 	 0.002798 	 0.002648 	 0.002948 	 0.002702 	 0.002558 	 0.002847 	 -0.002898 	 -0.002742 	 -0.003053 	 -0.002798 	 -0.002648 	 -0.002948 
